parent_asin,title,brand,subcategory,main_category,price,image_url,review_count,avg_rating,avg_sentiment,positive_pct,total_helpful_votes,quality_score
B08DBMRW2H,Keurig Compatible Water Filters Replacement by PURELINE - Charcoal Water Filters Replacement for Keurig Coffee Machine - Fit Keurig 2.0 and 1.0 Classic Coffee Makers.,Pureline,Reusable Filters,Amazon Home,11.95,https://m.media-amazon.com/images/I/81E4WIY-5qL._AC_SL1500_.jpg,1209,4.79,0.5235,80.81,198,0.9079
B01CA410KW,"Waterdrop 5231JA2002A Refrigerator Water Filter, Replacement for LG® LT500P®, GEN11042FR-08, ADQ72910911, ADQ72910901, Kenmore 9890, 46-9890, LFX25974ST, LMX25964ST, Pack of 2",Waterdrop,Water Filters,Tools & Home Improvement,21.99,https://m.media-amazon.com/images/I/716HoaC6oKL._AC_SL1500_.jpg,1266,4.75,0.5452,84.36,481,0.9067
B00SVGP1XG,French Press Replacement Filter (2-pack) - Includes Metal Center Ring - Universal 8-Cup Stainless Steel Reusable Filter | French Press Filter Screen,Gold Lion Gear,Reusable Filters,Amazon Home,8.49,https://m.media-amazon.com/images/I/41XMzfi53OL._AC_SL1200_.jpg,1203,4.71,0.5672,83.79,257,0.9064
B01DNYOKHS,Pack of 12 Replacement Charcoal Water Filters By Housewares Solutions for Keurig Brewers - Keurig Compatible Water Filter Cartridges Universal Fit (NOT CUISINART) for Keurig 2.0 & 1.0 Coffee Makers,Housewares Solutions,Disposable Filters,Amazon Home,8.99,https://m.media-amazon.com/images/I/71y56qAKDJL._AC_SL1200_.jpg,1274,4.77,0.5201,82.73,318,0.9054
B077BG6R36,PRYSM Bake Element Replaces WB44T10010,Prysm,Heating Elements,Tools & Home Improvement,34.99,https://m.media-amazon.com/images/I/51ggZhxT2gL._AC_SL1000_.jpg,975,4.77,0.547,83.28,290,0.9041
B0BTV3G59T,Perfect Pod EZ-Cup Filters by Perfect Pod (150 Filters),Perfect Pod,Disposable Filters,Amazon Home,16.99,https://m.media-amazon.com/images/I/712+8iHZx0L._AC_SL1500_.jpg,2620,4.73,0.5375,83.32,707,0.9039
B08FMXL4PL,"6 Water Filters for Keurig K-Mini, K-Slim, K-Duo, K-Supreme, K-Classic, K-Elite, K-Select, K-Cafe, K-Compact, K-Express - Universal Fit Replacement Water Filter for Keurig Coffee Makers",Goodcups,Reusable Filters,Amazon Home,8.95,https://m.media-amazon.com/images/I/61TgRKjXOrL._AC_SL1500_.jpg,1032,4.8,0.4946,81.59,136,0.9039
B0BW9MF3WP,ULTRA DURABLE 3406107 Dryer Door Switch Replacement part by BlueStars - Easy to Install - Exact fit for Whirlpool & Kenmore Dryers - Replaces 3406109 3405100 3405101 3406100 3406101 - PACK OF 4,Bluestars,Replacement Parts,Tools & Home Improvement,13.99,https://m.media-amazon.com/images/I/712i2YIVwYL._AC_SL1500_.jpg,2242,4.81,0.4822,79.35,75,0.9036
B00SPYDSFC,"Whirlpool W10712394 Adjuster KIT, Single Unit, White",Whirlpool,Replacement Parts,Tools & Home Improvement,30.13,https://m.media-amazon.com/images/I/71JyoJDcubL._AC_SL1500_.jpg,1189,4.69,0.5412,84.86,344,0.9004
B0BWCTGXFT,(2023 Update) 3392519 Dryer Thermal Fuse Replacement Part by BlueStars - Kenmore Dryer Thermal Fuse Exact Fit for Whirlpool Kenmore - Replaces AP6008325 3388651 694511 80005 WP3392519VP,Bluestars,Replacement Parts,Appliances,4.39,https://m.media-amazon.com/images/I/71MzNnsZlHL._AC_SL1500_.jpg,2282,4.83,0.4487,73.62,166,0.9001
B004RQDY60,"Gas Range Oven Igniter for WB2X9154, WB13K3, WB13K4, 4342528, SGR403",Supco,Accessories,Tools & Home Improvement,26.9,https://m.media-amazon.com/images/I/71Brw8u-s9L._AC_SL1500_.jpg,1501,4.73,0.5051,81.41,349,0.8983
B0824W5FWS,[Upgraded] DG64-00473A Top Burner Control Dial Knob Range Oven Replacement Stainless Steel Compatible with Samsung Range Oven Gas Stove Knob NX58F5700WS NX58H5600SS NX58H5650WS NX58J7750SS (5pcs),Longads,Knobs,Tools & Home Improvement,30.99,https://m.media-amazon.com/images/I/611a9QlT2BL._AC_SL1001_.jpg,1299,4.66,0.537,81.76,309,0.897
B0C7GCZ44M,"Waterspecialist MWF Refrigerator Water Filter, Replacement for GE® Smart Water MWFP, MWFA, GWF, HDX FMG-1, WFC1201, GSE25GSHECSS, PC75009, RWF1060, 197D6321P006, NSF42&372 Certified, 4 Filters",Waterspecialist,Water Filters,Appliances,40.99,https://m.media-amazon.com/images/I/71cAdmwl90L._AC_SL1500_.jpg,2500,4.67,0.5182,82,774,0.8951
B01FX2AODM,3392519 Dryer Thermal Fuse - Replacement Part for Whirlpool and Kenmore Exact Fit DR Quality Parts™ 3388651 WP3392519VP 694511,Dr Quality Parts,Replacement Parts,Appliances,4.69,https://m.media-amazon.com/images/I/61G8oipYTqL._AC_SL1500_.jpg,2465,4.84,0.4017,70.51,184,0.8947
B087PJ2392,"Filterlogic UKF8001 Replacement for EveryDrop Filter 4, Whirlpool EDR4RXD1, Maytag 4396395, UKF8001AXX-200, UKF8001AXX-750, 46-9006, Puriclean II, FMM-2, FL-RF07, Refrigerator Water Filter, Pack of 3",Filterlogic,Water Filters,Tools & Home Improvement,27.99,https://m.media-amazon.com/images/I/71VDNpnDXsL._AC_SL1500_.jpg,2931,4.67,0.5196,81.61,856,0.8946
B0BW9RFG33,Ultra Durable 279834 Dryer Gas Valve Ignition Solenoid Coil Kit Replacement Part by BlueStars - Exact Fit for Whirlpool Kenmore Maytag Dryers - Replaces AP3094251 PS334310 12001349 - PACK OF 6,Bluestars,Replacement Parts,Appliances,28.99,https://m.media-amazon.com/images/I/81lcH+cfjUS._AC_SL1500_.jpg,1434,4.81,0.4233,74.13,146,0.8946
B072JL5W21,K Cup Filters - Pack of 300 - Fits With All Reusable Coffee Pods - Compostable and Disposable Coffee Filters for Keurig Single Cup by Delibru,Delibru,Disposable Filters,Amazon Home,19.99,https://m.media-amazon.com/images/I/91PgL9V0DdL._AC_SL1500_.jpg,1300,4.62,0.5476,83.38,617,0.8941
B0C5PR3NWJ,"Waterdrop MWF Water Filter for GE® Refrigerators, Replacement for GE® MWF, SmartWater® MWFP, MWFA, GWF, HDX FMG-1, WFC1201, RWF1060, 197D6321P006, Kenmore® 9991, GSE25GSHECSS, 3 Filters",Waterdrop,Water Filters,Tools & Home Improvement,33.29,https://m.media-amazon.com/images/I/61KSbhz-S9L._AC_SL1500_.jpg,4651,4.64,0.5244,83.16,4076,0.8927
B0BXWBPVYS,"Waterdrop EDR4RXD1 Compatible with EveryDrop Filter 4, Whirlpool UKF8001, 4396395, Maytag UKF8001AXX-200, UKF8001AXX-750, WD-F07, Refrigerator Water Filter, 2 Filters",Waterdrop,Water Filters,Tools & Home Improvement,21.99,https://m.media-amazon.com/images/I/61WGebIA1nL._AC_SL1500_.jpg,2887,4.66,0.5086,81.4,3833,0.8918
B092T5Y46X,"Nispira Activated Charcoal Water Filters Replacement Compatible with Cuisinart Coffee Machine Part DCC-RWF, 36 Units",Nispira,Disposable Filters,Amazon Home,16.99,https://m.media-amazon.com/images/I/71E7D8tROjL._AC_SL1500_.jpg,2528,4.69,0.478,79.31,854,0.8912
B0CDGZZPSY,"Waterdrop 4396508 Replacement for Whirlpool® 4396510, EDR5RXD1, NLC240V, PNL240V, 4396508p, 4396547, 4392857, 9010, LC400V, WF-NLC240V, 46-9010, Everydrop® Filter 5 Refrigerator Water Filter, 2 PACK",Waterdrop,Water Filters,Appliances,21.69,https://m.media-amazon.com/images/I/61vgSx6UjAL._AC_SL1500_.jpg,1450,4.65,0.501,81.59,1099,0.8898
B078WL6VFS,"Waterspecialist DA29-00020B Refrigerator Water Filter, Replacement for Samsung DA29-00020A/B, HAF-CIN/EXP, DA29-00020B-1, RF25HMEDBSR, RF28HMEDBSR, RS25J500DSR&More Models, 3 Carbon Filters",Waterspecialist,Water Filters,Amazon Home,31.59,https://m.media-amazon.com/images/I/71Dv65io+CL._AC_SL1500_.jpg,3236,4.64,0.4988,80.5,1363,0.8891
B0BWCZ6WNR,[PACK OF 4] UPGRADED 3392519 Dryer Thermal Fuse Replacement Part by BlueStars - Easy to Install - Exact Fit for Whirlpool Kenmore Dryers - Replaces AP6008325 3388651 694511 80005 WP3392519VP,Bluestars,Replacement Parts,Tools & Home Improvement,9.39,https://m.media-amazon.com/images/I/712mgY5+mqL._AC_SL1500_.jpg,1007,4.77,0.4129,70.8,88,0.8889
B01FZJXITU,Exact Fit 279834 Dryer Gas Valve Ignition Solenoid Coil Kit - For Dryers Premium Replacement Part by DR Quality Parts,Dr Quality Parts,Replacement Parts,Tools & Home Improvement,8.95,https://m.media-amazon.com/images/I/610eybehutL._AC_SL1500_.jpg,952,4.86,0.4101,72.27,118,0.8884
B0C5BHXVH1,"Pureline EDR4RXD1 Replacement for Everydrop Filter 4, UKF8001, UKF8001AXX-750, UKF8001AXX-200, Maytag UKF8001, Whirlpool EDR4RXD1, 4396395, Kenmore 9084, 9006, Puriclean II, (5 Pack)",Pureline,Water Filters,Amazon Home,49.99,https://m.media-amazon.com/images/I/81ud0LsOPtL._AC_SL1500_.jpg,1729,4.62,0.511,81.55,630,0.8882
B000NCTOUM,"Whirlpool 3392519 Dryer Thermofuse, Finish, White",Whirlpool,Replacement Parts,Tools & Home Improvement,,https://m.media-amazon.com/images/I/5144nI-0fmL._AC_SL1500_.jpg,1455,4.77,0.406,71.75,239,0.8881
B08V3174QC,"Primula Brew Buddy Portable Pour Over, Reusable Fine Mesh Filter, Dishwasher Safe, Single Cup of Coffee or Tea at Any Strength, Ideal for Travel or Camping, 404.88 milliliters, Red",Primula,Reusable Filters,Amazon Home,6.99,https://m.media-amazon.com/images/I/61j5t5SAsBL._AC_SL1500_.jpg,1736,4.48,0.5987,85.94,1485,0.888
B0C9DPRT35,"Waterdrop WF1CB Replacement for Frigidaire PureSource WFCB, RG100, NGRG2000, WF284, 9910, 469906, 469910, Refrigerator Water Filter, 3 Filters",Waterdrop,Water Filters,Appliances,18.99,https://m.media-amazon.com/images/I/61VGX+QlQtL._AC_SL1000_.jpg,873,4.84,0.5322,82.82,516,0.8879
B0922X36ZK,"hOmeLabs Digital Countertop Dishwasher with 6 Place Settings - Energy Star Certified with 7 Programs - with Dish Rack, Cup Shelf, and Cutlery Basket - Ideal for Small Apartments, Dorms, Boats, and RVs",Homelabs,Baskets,Appliances,302.49,https://m.media-amazon.com/images/I/51cCrhgjKZS._AC_SL1500_.jpg,1067,4.42,0.6338,87.07,3421,0.8873
B09W8W65XY,"K&J Reusable K Cups Compatible with Keurig, 4 Pack, Black - Includes Freedom Clip for Compatibility With Keurig 2.0 Machines",K&j,Reusable Filters,Amazon Home,6.5,https://m.media-amazon.com/images/I/616AwRLu-TL._AC_SL1110_.jpg,2886,4.52,0.5692,83.71,507,0.8869
B07CYNWTXK,"Capparis Kitchen Silicone Stove Counter Gap Cover, Easy Clean Heat Resistant Wide & Long Gap Filler, Seals Spills Between Counter, Stovetop, Oven, Washer & Dryer, Set of 2 (21 Inches, White)",Capparis,Accessories,Amazon Home,12.99,https://m.media-amazon.com/images/I/61aW9l-1ZZL._AC_SL1500_.jpg,4076,4.53,0.5573,83.12,850,0.8868
B0BVZ6NRP6,"Waterdrop DA29-00003G Refrigerator Water Filter, Replacement for Samsung DA29-00003G, DA29-00003B, DA29-00003A, Aqua-Pure Plus, HAFCU1, RFG237AARS, FMS-1, RS22HDHPNSR, RSG257AARS, WSS-1, 2 Filters",Waterdrop,Water Filters,Tools & Home Improvement,22.09,https://m.media-amazon.com/images/I/61SqTlNiCML._AC_SL1500_.jpg,1597,4.6,0.5063,82.34,1866,0.8861
B0B57GSDMD,AeroPress Replacement Filter Pack - Microfilters For AeroPress Coffee And Espresso Maker - 350 count,Aeropress,Disposable Filters,Amazon Home,7.95,https://m.media-amazon.com/images/I/51Kakhr8sfL._AC_SL1500_.jpg,1972,4.66,0.462,76.12,649,0.8852
B0C3BFRXSC,"Hershuing 32 Grid Capacity Egg Holder for Refrigerator, Household Egg Fresh Storage Box for Fridge, Transparent 2-Layer Chicken Egg Storage Container (White)",Hershuing,Egg Trays,Tools & Home Improvement,15.99,https://m.media-amazon.com/images/I/614rHjfkU6L._AC_SL1500_.jpg,978,4.61,0.5231,79.24,1037,0.8852
B01CYBRSK2,"OUGAR8 Refrigerator Door Handle Cover Set of 4, Kitchen Appliances Gloves Fridge Microwave Dishwasher Door Cloth Protector-Catches Drip,Fingerprint Dust Cover (4pcs, Gray Plush)",Ougar8,Handles,Amazon Home,16.99,https://m.media-amazon.com/images/I/71UTD435EQL._AC_SL1001_.jpg,1038,4.59,0.5097,79.58,646,0.885
B001ICYB2M,SAMSUNG Heating Element Dc47-00019A,Samsung,Replacement Parts,Tools & Home Improvement,,https://m.media-amazon.com/images/I/81cU4gWsTnL._AC_SL1500_.jpg,2751,4.61,0.4928,79.03,1117,0.8846
B0C7TRJCL4,"Waterdrop UKF8001 Refrigerator Water Filter 4, Compatible with Whirlpool EDR4RXD1, EveryDrop Filter 4, Maytag UKF8001AXX-750, UKF8001AXX-200, 46-9006, Puriclean II, WF-UKF8001, 4 Filters",Waterdrop,Water Filters,Tools & Home Improvement,34.99,https://m.media-amazon.com/images/I/71d27IR4rPL._AC_SL1500_.jpg,1414,4.6,0.4922,80.34,1152,0.8842
B07M7TTTGP,Water Line Buddy - Premium Frozen Water Line Tool - Quickly and Easily Unfreeze Your Refrigerator Water Dispenser,Water Line Buddy,Refrigerator Parts & Accessories,Appliances,12.95,https://m.media-amazon.com/images/I/81XRSCV+TUL._AC_SL1500_.jpg,1056,4.69,0.4329,74.62,1152,0.8838
B0BTSQRXNZ,"Aprilaire 35 Water Panel Humidifier Filter Replacement for Aprilaire Whole House Humidifier Models 350, 360, 560, 560A, 568, 600, 600A, 600M, 700, 700A, 700M, 760, 760A, 768 (Pack of 2)",Aprilaire,Accessories,Industrial & Scientific,26.49,https://m.media-amazon.com/images/I/71yigq0DOtL._SL1500_.jpg,2862,4.7,0.4209,74.81,980,0.8831
B0BVR77MZJ,"3406107 Door Switch Replacement Fits for Whirlpool Dryer, Maytag Dryer, Replaces 3406109 3405100 3405101 3406100 3406101",Sanjoin,Replacement Parts,Tools & Home Improvement,4.99,https://m.media-amazon.com/images/I/613C-gsEMBL._AC_SL1500_.jpg,1286,4.7,0.4187,73.48,281,0.8828
B078W236KB,"FilterLogic ADQ73613401 Refrigerator Water Filter, Replacement for LG® LT800P®, ADQ73613402, ADQ73613408, ADQ75795104, Kenmore 9490, 46-9490, LSXS26326S, LMXC23746S, LMXC23746D (Pack of 3)",Filterlogic,Water Filters,Amazon Home,30.99,https://m.media-amazon.com/images/I/71NzK7Gm74L._AC_SL1500_.jpg,1113,4.6,0.484,78.08,799,0.8823
B00009W3I4,Heartland Natural Energy Saving Dryer Vent Closure - Outside Heartland Dryer Vent Cover Adapts to Outdoor Siding,Heartland,Vents,Tools & Home Improvement,40.99,https://m.media-amazon.com/images/I/41RCExgY1lS._AC_SL1500_.jpg,1032,4.56,0.5044,81.59,1307,0.8816
B085R91V61,"Rustic Farmhouse Dishwasher Magnet Clean Dirty Sign, Universal Double-Sided Clean Dirty Magnet for Dishwasher or Refrigerator, Magnetic Dirty Clean Dishwasher Magnet",Babypop!,Parts & Accessories,Amazon Home,7.99,https://m.media-amazon.com/images/I/61rWu2nzDJL._AC_SL1380_.jpg,1872,4.47,0.562,83.65,221,0.8816
B0BFZRLLKH,"COSMO QB90 36 in. Under Cabinet Range Hood with Push Button Controls, Permanent Filters, LED Lights, Convertible from Ducted to Ductless (Kit Not Included) in Stainless Steel, 36 inches",Cosmo,Range Hoods,Appliances,329.99,https://m.media-amazon.com/images/I/51t4dDFgVuL._AC_SL1500_.jpg,1109,4.37,0.6303,86.93,1004,0.8814
B07QCN1W56,"PUREHQ Keurig Starter Kit Replacement for Keurig 2.0 K200, K250, K35, K-Duo and K-Compact Coffee Makers Includes Filter Holder and 3 Pack of Keurig Compatible Water Filters",Purehq,Reusable Filters,Amazon Home,17.95,https://m.media-amazon.com/images/I/71LexeVuf-L._AC_SL1500_.jpg,1327,4.65,0.441,74.53,200,0.881
B07TSMX41M,"UPGRADED W10195416 (Packs of 4), Dishwasher Wheels Lower Rack for Kitchenaid Whirlpool Maytag Kenmore.Dishwasher Rack Parts .W10195420 AP5983730 W10579095A W10311123B PS11722152 Replacement Wheels",Monkemon,Baskets,Automotive,17.99,https://m.media-amazon.com/images/I/71tYlz7fZqL._AC_SL1500_.jpg,1036,4.61,0.4659,79.34,372,0.8806
B0051HEFAS,"Kuissential SlickDrip Pour Over Coffee Dripper -Collapsible, Reusable Silicone Coffee Filter Cone- Manual Coffee Brew Maker-Makes One to Two Cups of Strong Brew-Great for Hiking, Camping, Home, Office",Kuissential,Reusable Filters,Amazon Home,9.99,https://m.media-amazon.com/images/I/81SStmnHe0L._AC_SL1500_.jpg,759,4.67,0.7397,93.28,696,0.8802
B088MMFPK9,"BUNN 12-Cup Commercial Coffee Filters, 1000 count, 20115.0000",Bunn,Disposable Filters,Industrial & Scientific,16.39,https://m.media-amazon.com/images/I/81lEvDC1J2S._AC_SL1500_.jpg,1290,4.64,0.4406,73.8,388,0.8801
B01J0I0UKW,"Mist UKF8001 Filter 4 Replacement for Maytag, Whirlpool Filter 4 Everydrop EDR4RXD1, 4396395, Kenmore 46-9005, RWF0900A Refrigerator Water Filter",Mist,Water Filters,Appliances,19.99,https://m.media-amazon.com/images/I/81qX8Hos7JL._AC_SL1500_.jpg,1253,4.56,0.4955,81.17,547,0.8799
B0C85M2F4G,"Waterdrop DA29-00003G Refrigerator Water Filter, Replacement for Samsung DA29-00003G, DA29-00003B, DA29-00003A, Aqua-Pure Plus, HAFCU1, RFG237AARS, FMS-1, RS22HDHPNSR, RSG257AARS, WSS-1, 3 Filters",Waterdrop,Water Filters,Tools & Home Improvement,27.69,https://m.media-amazon.com/images/I/61iSlB2N1LL._AC_SL1500_.jpg,1131,4.55,0.497,81.96,870,0.8794
B00IB4BMDQ,"Deflecto DVBRUSH12K/6 Dryer Duct Cleaning Kit, Lint Remover, Extends Up to 12 Feet, Synthetic Brush Head, Use with or Without a Power Drill, accessory, Computer",Deflecto,Replacement Parts,,26.4,https://m.media-amazon.com/images/I/71vHU4kjLgL._AC_SL1500_.jpg,1822,4.52,0.5146,81.67,1093,0.8792
B07WTXWC32,"Linda's Essentials Silicone Stove Gap Covers (2 Pack), Heat Resistant Oven Gap Filler Seals Gaps Between Stovetop and Counter, Easy to Clean (25 Inches, White)",Linda's Essentials,Accessories,Amazon Home,11.95,https://m.media-amazon.com/images/I/414v6HvDUjL._AC_SL1000_.jpg,8382,4.5,0.5263,81.25,2526,0.8788
B07PNYLS9M,"Whirlpool W10311524 SxS Refrigerator FreshFlow Air Filter, Single , White",Whirlpool,Air Filters,Appliances,8,https://m.media-amazon.com/images/I/71Ma5DxvemL._AC_SL1500_.jpg,1208,4.69,0.3959,71.19,311,0.8786
B012YQL5IS,"Perfect Pod Reusable K Carafe Pod, Compatible with Keurig 2.0 K-Carafe K200 K300 K400 K500 Series Coffee Makers",Perfect Pod,Reusable Filters,Amazon Home,9.99,https://m.media-amazon.com/images/I/51O6dJL4J2L._AC_SL1000_.jpg,1947,4.48,0.5325,81.15,816,0.8783
B0C5F5TXZM,"Pureline 9690, LT700P Replacement for LG LT700P, Kenmore Elite 9690, Kenmoreclear 46-9690, ADQ36006101, HDX FML-3, Refrigerator Water Filter, NSF 372 and NSF 42 Certification (2 Pack)",Pureline,Water Filters,Tools & Home Improvement,29.99,https://m.media-amazon.com/images/I/81R3Q7YxCnL._AC_SL1500_.jpg,1682,4.55,0.4879,79.37,671,0.8782
B09SHVMDY8,4 Reusable K Cups for Keurig Coffee Makers - BPA Free Universal Fit Purple Refillable Kcups Coffee Filters for 1.0 and 2.0 Keurig Brewers,Goodcups,Reusable Filters,Amazon Home,7.95,https://m.media-amazon.com/images/I/81ESbVDmyEL._AC_SL1500_.jpg,4880,4.47,0.5391,82.38,1236,0.8781
B01I0GF0LY,"K&J Replacement Samsung Compatible Refrigerator Water Filter for DA2900020B, RF263BEAESR, and RF28HMEDBSR - Samsung HAF-CIN/EXP and 46-9101 Refrigerator Water Filter, NSF 42 Certified (1-Pack)",K&j,Water Filters,Amazon Home,16.03,https://m.media-amazon.com/images/I/81aAvk65RxL._AC_SL1500_.jpg,1184,4.5,0.5178,81.76,207,0.8779
B07DQFHTVS,"JACS Upgraded Samsung Dryer Roller Replacement Kit | Compatible with Samsung Dryer Parts DC97-16782A Samsung Dryer Assembly Roller, DC93-00634A Dryer Idler Pulley & 6602-001655 Samsung Dryer Replacement Belt",Jacs,Replacement Parts,Appliances,28.99,https://m.media-amazon.com/images/I/71+IqbembGL._AC_SL1280_.jpg,1194,4.63,0.4329,74.87,618,0.8778
B01IODS2HW,"K&J Replacement LG LT700P Compatible Refrigerator Water Filters - LG Water Filter Comparable Replacements for LT700P, ADQ36006101, Kenmore 46-9690, NSF 42 Certified (3 PACK)",K&j,Water Filters,Tools & Home Improvement,39.54,https://m.media-amazon.com/images/I/81k58FFZXFL._AC_SL1500_.jpg,912,4.64,0.5409,84.76,297,0.8775
B01KHITHE4,"OUGAR8 Refrigerator Door Handle Covers,Keep Your Kitchen Appliance Clean from Smudges, Fingertips, Drips, &Food Stains, Perfect for Dishwashers (5pcs, Gray)",Ougar8,Handles,Amazon Home,17.99,https://m.media-amazon.com/images/I/610KIs8D6HL._AC_SL1001_.jpg,2052,4.54,0.4889,77.88,659,0.8768
B07RZ4MGXR,"Charcoal Water Filters Replacements Fits Keurig 2.0 Models by Possiave, Pack of 24",Possiave,Disposable Filters,Amazon Home,17.99,https://m.media-amazon.com/images/I/81K-yFKju8L._AC_SL1500_.jpg,2869,4.6,0.4463,76.19,857,0.8766
B01ENXS1C8,7 Reusable K Cups for Keurig - Universal Fit 1.0 & 2.0 Keurig Coffee Makers - 7 Colors Refillable Kcups Coffee Filters for all Keurig Brewers Family,Goodcups,Reusable Filters,Amazon Home,9.95,https://m.media-amazon.com/images/I/71yhC9Fe1AL._AC_SL1500_.jpg,1752,4.41,0.5634,82.71,683,0.8759
B0BK11DDLD,"AprilAire 10 Water Panel Humidifier Filter Replacement for AprilAire Whole House Humidifier Models 110, 220, 500, 500A, 500M, 550, 550A, 558 (Pack of 2)",Aprilaire,Humidifier Parts & Accessories,Industrial & Scientific,21.49,https://m.media-amazon.com/images/I/81UP9yLClXL._SL1500_.jpg,964,4.72,0.4061,72.41,257,0.8759
B082S9JRRX,Possiave 12-Pack Cuisinart Compatible Charcoal Water Filter Replacement - for all Cuisinart Coffee Machines,Possiave,Disposable Filters,Amazon Home,8.99,https://m.media-amazon.com/images/I/71XHL4NXwsL._AC_SL1473_.jpg,999,4.61,0.4304,75.28,353,0.8757
B09SHV29MN,"4 Reusable K Cups for Keurig K-Classic, K-Elite, K-Select, K-Cafe, K-Compact, K200, K300, K400, K500, Universal Fit Black Refillable Kcups Coffee Filters for 2.0 and 1.0 Brewers",Goodcups,Reusable Filters,Amazon Home,7.95,https://m.media-amazon.com/images/I/715Hk4V6VeL._AC_SL1500_.jpg,1428,4.42,0.5559,83.19,494,0.8755
B0BVFQY9HH,"Waterdrop DA29-00020B NSF 53&42 Certified Refrigerator Water Filter, Replacement for Samsung DA29-00020B, DA29-00020A, HAF-CIN/EXP, 46-9101, WDS-F27, 1 Filter",Waterdrop,Water Filters,Tools & Home Improvement,19.59,https://m.media-amazon.com/images/I/51Up7tPDmGL._AC_SL1500_.jpg,4821,4.54,0.4741,78.66,3561,0.875
B0B9CCJTDF,"ULIT Portable Ice Maker,Ice Maker Machine for Countertop, Self-Cleaning Function Ice Cube Maker,Make 26 lbs Ice in 24 hrs, 9 Ice Cubes Ready in 8 Minutes,with Ice Scoop and Basket(Black)",Ulit,Ice Makers,Amazon Home,97,https://m.media-amazon.com/images/I/51uY2fyOpmL._SL1001_.jpg,1698,4.41,0.5573,82.98,530,0.8743
