parent_asin,title,brand,subcategory,price,image_url,average_rating,times_recommended,avg_final_score,avg_als_score,avg_pagerank_score
B0081E90ZS,3406241 Kenmore Washer Switch Cycle,Kenmore,Washer Parts & Accessories,,https://m.media-amazon.com/images/I/61W6o-cDtCL._AC_SL1000_.jpg,5.0,182129,0.3429,0.4899,0.0
B0C2PNH7L1,"Crzoe Ice Makers Countertop, Ice Machine with Handle, 26Lbs in 24Hrs, 9 Cubes Ready in 6 Mins, Self-Cleaning Portable Ice Maker, 2 Sizes of Bullet Ice Cubes for Home and Office",Crzoe,Ice Makers,99.99,https://m.media-amazon.com/images/I/61WA4Xz9yEL._SL1500_.jpg,4.4,176034,0.3496,0.4993,2.0E-4
B00GS2U0P4,5303935057 - Tappan Aftermarket Replacement Stove Range Oven Drip Bowl Pan,Frigidaire,Drip Pans,7.49,https://m.media-amazon.com/images/I/81zBQxiV4yL._AC_SL1500_.jpg,2.7,167133,0.3479,0.4969,1.0E-4
B00N997QCE,Everpure EV961232 I4000 2 Filter,Everpure,Cooktop Parts & Accessories,118.5,https://m.media-amazon.com/images/I/610O62+YZTL._AC_SL1500_.jpg,5.0,151152,0.3404,0.4862,3.0E-4
B097SPBG7C,Door Shelf Bin (Right Side) For Kenmore 795.74019412 795.74022410 795.74022411 795.74022412 795.74023410 795.74023411 795.74023412 795.74024410 795.74024411 795.74024412 795.74025410 795.74025411 Etc,Azh,Shelves,59.99,https://m.media-amazon.com/images/I/61L9GAsLxbS._AC_SL1213_.jpg,5.0,148042,0.3492,0.4989,1.0E-4
B00EXQL81W,ClimaTek Dishwasher Inlet Water Valve fits Inglis # 9743559,Inglis,Parts & Accessories,,https://m.media-amazon.com/images/I/7172s7enZTL._SL1500_.jpg,5.0,147951,0.3456,0.4938,0.0
B00WTD80W6,"ERP 240356401 Refrigerator Bin for Electrolux, White",Exact Replacement Parts,Bins,21.97,https://m.media-amazon.com/images/I/71zZskEim3L._AC_SL1500_.jpg,4.5,147292,0.3436,0.4908,1.0E-4
B0C6FSYD83,"Premium Liners for Ninja Foodi Air Fryer Bottom of toaster Oven Mat | Compatible with Cuisinart, Ninja Air Fryer SP101 SP102 & Toaster Oven Accessories | Reusable Mat for Flip Up & Non-Stick Tray",Threadnanny,Oven Parts & Accessories,9.99,https://m.media-amazon.com/images/I/71c+QbrM-oL._AC_SL1200_.jpg,4.7,109513,0.3456,0.4936,1.0E-4
B076NW2BQP,"FairyAqua Refrigerator Replacement Water Filter, Water Filter Fits Kenmore 46-9690,LG LT700P etc(2Pack)",Fairyaqua,Water Filters,,https://m.media-amazon.com/images/I/61-YZ3zi32L._AC_SL1000_.jpg,5.0,97926,0.3441,0.4915,3.0E-4
B087M6SWDD,2 PCS PTC Refrigerator Starter Relay P6R8MD 2 Pins For LG Magic Chef Refrigerator & dehumidier 6748C-0004D,Spartshome,Parts & Accessories,12.98,https://m.media-amazon.com/images/I/612JZlWXC8L._AC_SL1200_.jpg,4.3,79257,0.3424,0.489,2.0E-4
B00LLLZPMA,GENUINE Whirlpool 6-919825 Touch Pad and Control Panel. White,Whirlpool,Parts & Accessories,,https://m.media-amazon.com/images/I/71u6SMzCDIL._AC_SL1500_.jpg,5.0,76978,0.3409,0.4869,3.0E-4
B073V7SV1H,Whirlpool WPW10687506 Leveling Leg,Whirlpool,Parts & Accessories,21.98,https://m.media-amazon.com/images/I/51ufLQ-dPCL._AC_SL1148_.jpg,4.5,76871,0.3307,0.4725,0.0
B0BZKLBZSK,"12 Pack Refrigerator Air Filter Replacement for FRIGIDAIRE PAULTRA Pure Air and Electrolux EAFCBF, SCPUREAIR2PK, SCPUREAIRU, 242047801, 241754001, 242047804, 242061001 Carbon Activated Air Filter",Btrsolus,Water Filters,18.99,https://m.media-amazon.com/images/I/61erNexgkkL._AC_SL1500_.jpg,4.5,74431,0.3357,0.4794,2.0E-4
B09PGMMYH3,Vent Systems 4'' Inch Plastic Adjustable Through Wall Ventilation Kit - Dryer Vent Kit - Ventilation Tube with Exhaust Hood Vent Cover and Duct Connector - Built in Gravity Damper in Exhaust Hood,Vent Systems,Vents,48.99,https://m.media-amazon.com/images/I/51bwBwtM40L._AC_SL1500_.jpg,4.7,72699,0.329,0.47,1.0E-4
B004XL24N8,GENUINE Whirlpool 8268655 Wheel Kit,Whirlpool,Dishwasher Parts & Accessories,15.8,https://m.media-amazon.com/images/I/61Vw5rdDhKL._AC_SL1500_.jpg,4.5,72534,0.3242,0.4628,6.0E-4
B07TSZSSDV,"Ansoon W10613606 Refrigerator Compressor Start Relay and Capacitor Compatible for Whirlpool Fridges Replaces W10416065, 67003186, PS87465221",Ansoon,Washer Parts & Accessories,9.99,https://m.media-amazon.com/images/I/51SrDqGw4xL._SL1008_.jpg,4.1,68211,0.3428,0.4897,1.0E-4
B0BKV6ZRZW,Milk Frothing Pitcher 14OZ 20OZ(400ml 600ml) Stainless Steel Milk Espresso Steaming Pitcher Barista Cup For Making Coffee for Cappuccino Precision Latte Barista Art UBENKAKU(14 oz),Ubenkaku,Milk Frothing Pitchers,18.99,https://m.media-amazon.com/images/I/61Q4UeqU7PL._AC_SL1500_.jpg,4.8,61962,0.3654,0.5209,0.0027
B01MG35SJN,"Washers & Dryers Thermal Cut Out Kit and Fuse, 279769, 3392519",Washer,Replacement Parts,12.25,https://m.media-amazon.com/images/I/61Z3AfCiG7L._AC_SL1500_.jpg,2.7,61406,0.3411,0.4873,0.0
B00LQDIIZ4,Whirlpool 2188321A Door Gasket,Whirlpool,Parts & Accessories,127.08,https://m.media-amazon.com/images/I/71RTx3fSRiL._AC_SL1500_.jpg,4.3,56353,0.3485,0.4977,3.0E-4
B08WWJSTQS,MJX41178908 New OEM Production for LG Refrigerator Water Inlet Valve Replacement Part by What'sUp? Replaces AP4451762 1398828 AH3536019 EA3536019 PS3536019 5221JA2011P,What's Up?,Refrigerators,19.69,https://m.media-amazon.com/images/I/71j5yhT8DlS._AC_SL1500_.jpg,4.2,55273,0.3572,0.5102,1.0E-4
B0BLFT37FB,Evaporator Fan for Refrigerator Part DA81-06013A Replacement Parts by B&C Ecom LLC,B&cecom Llc,Motors,29.99,https://m.media-amazon.com/images/I/51dXGvdXteL._AC_SL1000_.jpg,5.0,47159,0.3565,0.5093,0.0
B07K5LM7PV,French Press Filter 12 Oz 4 Pack Universal Replacement Reusable Stainless Steel 3 Cup (350 ml) Mesh Fits Most Coffee Presses with Metal Center Ring,Compatify,Reusable Filters,,https://m.media-amazon.com/images/I/91JucdBpk5L._AC_SL1500_.jpg,4.7,43637,0.3505,0.5005,4.0E-4
B06XX7TQRL,"Bosch SHXM63WS5N 24\" 300 Series Built In Fully Integrated Dishwasher with 5 Wash Cycles, in Stainless Steel",Bosch,Built-In Dishwashers,,https://m.media-amazon.com/images/I/51zABmBzo4L._AC_SL1000_.jpg,5.0,42809,0.3329,0.4754,2.0E-4
B002JP92J4,"Supco LB175, Washer Belt for Amana, Maytag, AP4035118 PS2027742, 37820, 27001007",Supco,Replacement Parts,11.25,https://m.media-amazon.com/images/I/81rmZwSJIvL._AC_SL1500_.jpg,5.0,38829,0.3405,0.4864,0.0
B0B5JVLB89,"DA81-06013A DA31-00287A (OEM) Samsung Refrigerator Evaporator Fan Motor, Compatible with Samsung: RF28HMEDBSR/AA RF28HFEDTSR/AA, RF26HFENDSL/AA, RF25HMEDBSR/AA etc",Grete Gotye,Motors,,https://m.media-amazon.com/images/I/81UQDkeH7qL._AC_SL1500_.jpg,3.7,37774,0.3277,0.4671,0.0025
B08ZRQZLCD,"HTH 30 inch Under Cabinet Range Hood in Stainless Steel, 400 CFM Dual Motor Ducted Kitchen Stove Vent Hood with 3 Speed Exhaust Fan, 6\" Top Vent, Push Button, Permanent Filters",Hth Hthomeprod,Range Hoods,,https://m.media-amazon.com/images/I/61rDF5IiLPL._AC_SL1500_.jpg,4.2,37397,0.3241,0.463,1.0E-4
B01AJVO08M,LG 5989JA1005G Refrigerator Ice Maker Assembly Genuine Original Equipment Manufacturer (OEM) Part,Lg,Ice Makers,217.09,https://m.media-amazon.com/images/I/51ZD1X2zOZL._AC_SL1000_.jpg,4.6,37378,0.3691,0.5272,1.0E-4
B08H8LNBTN,New PTC Starter Compressor Relay For LG Magic Chef Refrigerator/dehumidier P6R8MC,Titiskin,Parts & Accessories,10.5,https://m.media-amazon.com/images/I/71sqxkwwQXS._AC_SL1500_.jpg,4.3,33677,0.3228,0.4612,0.0
B077G7VK74,Whirlpool W9761557CB Range Surface Burner Grate Genuine Original Equipment Manufacturer (OEM) Part,Kitchenaid,Parts & Accessories,,https://m.media-amazon.com/images/I/51S6p6ym6LL._AC_SL1000_.jpg,5.0,30880,0.3325,0.475,1.0E-4
B018EJXI70,Whirlpool W10112253 Gear,Whirlpool,Parts & Accessories,,https://m.media-amazon.com/images/I/81vLQGZRw0L._AC_SL1500_.jpg,4.6,30847,0.3301,0.4714,4.0E-4
B09VHDNR9W,Supplying Demand W10117655 1448106 Clothes Dryer Push to Start Switch Replacement Model Specific Not Universal,Supplying Demand,Replacement Parts,32.42,https://m.media-amazon.com/images/I/51v2vsf96XL._AC_SL1201_.jpg,4.2,30152,0.3354,0.4789,6.0E-4
B0BMPJ6JJM,"WP8544771 8544771 Dryer Heating Element Kit for Maytag Kenmore Whirlpool Ama na,Includes 3392519 279973 Dryer Thermal Fuse 279816 Thermal -1 Year Warranty by Cobectal",Cobectal,Replacement Parts,24.77,https://m.media-amazon.com/images/I/71aCh038xQL._AC_SL1500_.jpg,4.8,28758,0.3607,0.5142,0.0024
B097QTQ2QH,DC97-16140P Washer Door Boot Seal OEM Parts Compatible with Samsung Washer Replaces DC97-19755A AP6244163 4924624 PS11735181,Atma Supply,Washer Parts & Accessories,51.99,https://m.media-amazon.com/images/I/61kPv-qnMnS._AC_SL1500_.jpg,4.7,26867,0.3213,0.4588,5.0E-4
B07S2H6RMB,WR57X10032 Water Valve Replacement for General Electric GSL22JFTABS Refrigerator - Compatible with WR57X10040 Inlet Valve - UpStart Components Brand,Upstart Components,Parts & Accessories,,https://m.media-amazon.com/images/I/6171IERR30L._AC_SL1500_.jpg,5.0,26289,0.336,0.4799,4.0E-4
B0977SDG26,EvertechPRO 3 CYCLE Dryer Timer Replacement for Whirlpool W10436303 WPW10436303 AP6021393 PS11754717 2311873 AH3632909 EA3632909 PS3632909,Evertechpro,Replacement Parts,64.89,https://m.media-amazon.com/images/I/81K1uCEcXPS._AC_SL1500_.jpg,4.5,26084,0.3265,0.4659,0.0012
B07Q5D9Y6C,131644700 Dryer Door Handle Compatible with Electrolux Frigidaire AP2107331 PS41838,Zaitoe,Replacement Parts,,https://m.media-amazon.com/images/I/51o-pw5owrL._AC_SL1200_.jpg,4.8,23533,0.3403,0.4861,3.0E-4
B07RFD7628,"LG 5231AR6159T LG-5231AR6159T Filter Assembly,Air Cleaner",Lg,Replacement Parts,,https://m.media-amazon.com/images/I/41tmtwoe9wL._AC_SL1000_.jpg,4.7,22462,0.314,0.4485,1.0E-4
B0162XGGAG,HQRP Filter 3-Pack Compatible with Honeywell HCM-500 Series HCM-530 HCM-535 HCM-540 HCM-550 HCM-560 HCM-551 Humidifier,Hqrp,Replacement Wicks,18.91,https://m.media-amazon.com/images/I/61o95JyWJ5L._AC_SL1000_.jpg,5.0,21901,0.3326,0.4751,0.0
B08QDR71XF,VIALU W10276397 Washer Drain Pump,Vialu,Washer Parts & Accessories,,https://m.media-amazon.com/images/I/61uWIVdYL2L._AC_SL1500_.jpg,5.0,21320,0.3187,0.4552,2.0E-4
B01MF8WU8F,2-Pack Air Filter Factory 9-1/4 X 14-1/2 X 3/8 Range Hood Aluminum Grease Filters,Air Filter Factory,Filters,24.97,https://m.media-amazon.com/images/I/91Zr3OX0rYL._AC_SL1500_.jpg,4.6,20852,0.3571,0.5098,8.0E-4
B087JYY4SM,"ClimaTek Upgraded Range Stove Oven 8\" Large Heavy Duty Burner fits Hotpoint Sears WB30X253 AP2027813 WB30X5095",Climatek,Burners,,https://m.media-amazon.com/images/I/61wtNH2SXzL._AC_SL1100_.jpg,5.0,20111,0.3202,0.4575,0.0
B00A8O0DPA,Whirlpool 62649P Drum Roller,Whirlpool,Parts & Accessories,,https://m.media-amazon.com/images/I/71lTxWbzyFL._AC_SL1422_.jpg,5.0,19493,0.3147,0.4495,1.0E-4
B07FTSS4FY,Supplying Demand SP12YA WB30X254 WB30T10075 6 Inch Surface Burner Element,Supplying Demand,Burners,,https://m.media-amazon.com/images/I/71OrcY2F+xL._AC_SL1500_.jpg,4.4,19413,0.348,0.4971,1.0E-4
B08H5CV6TD,"661570V Dryer Belt Replacement for Whirlpool, Maytag, Kenmore, Amana, Crosley. 93.5 Inch Dryer Drum Belt 661570 Replace Part 339728, 3387610, 3389728, 3393999, 4248258, AP5983729, EAP382430, PS382430",Lorenz Butterfly,Replacement Parts,14.75,https://m.media-amazon.com/images/I/6195uMZ3pUL._AC_SL1000_.jpg,4.4,18857,0.3766,0.5378,6.0E-4
B07SXXCWSK,WB13K10024 - ClimaTek Direct Replacement for GE Gas Range Oven Stove Ignitor Igniter,Climatek,Parts & Accessories,22.95,https://m.media-amazon.com/images/I/617JTgpBehL._SL1500_.jpg,3.8,18736,0.3002,0.4286,5.0E-4
B0992B7ZD7,"KOTEK 3.0 Cu.Ft Compact Mini Freezer, Upright Small Freezer w/Reversible Single Stainless Steel Door, 7 Grade Adjustable Thermostat, Freestanding Small Freezer for Home, Office, Apartment",Kotek,Upright Freezers,249.99,https://m.media-amazon.com/images/I/61QwZRa-UIL._AC_SL1500_.jpg,4.3,18662,0.3283,0.469,1.0E-4
B00XNI4QCE,"LG MCK63604901 Cover, Stirrer Fan",Lg,Parts & Accessories,,https://m.media-amazon.com/images/I/71zGN92tUXL._AC_SL1500_.jpg,4.9,18637,0.3094,0.442,0.0
B001DHPM7U,Whirlpool 40008101 Hose Adapter,Whirlpool,Hoses,,https://m.media-amazon.com/images/I/61WeRPrAMLL._AC_SL1500_.jpg,4.4,18208,0.3134,0.4477,0.0
B0034IM4D6,Whirlpool Part Number 814546: SPUD-ORFCE,Whirlpool,Dishwasher Parts & Accessories,,https://m.media-amazon.com/images/I/71dCaUmastL._AC_SL1500_.jpg,4.4,18124,0.3458,0.494,0.0
B08N1FYM72,Embraco EM3U60HLP 623 BTU,Embraco,Refrigerator Parts & Accessories,,https://m.media-amazon.com/images/I/91gaHnKyCLL._AC_SL1500_.jpg,4.2,17870,0.3445,0.492,3.0E-4
B00308TQL8,GE WH01X10310 Genuine OEM Timer Knob (White) for GE Washing Machines,Ge,Washer Parts & Accessories,7.99,https://m.media-amazon.com/images/I/61PJevFa36L._AC_SL1289_.jpg,4.5,17796,0.3349,0.4784,1.0E-4
B086CC8CRM,OEM Switch WB24T10027,Linkez,Parts & Accessories,21.5,https://m.media-amazon.com/images/I/71XGbo90i6L._AC_SL1500_.jpg,4.6,17116,0.3891,0.5555,0.001
B0CF5R58Z2,"Silonn Nugget Ice Maker Countertop - Pebble Ice Maker Machine with Self-Cleaning Function, 33lbs/24H, Ice Makers for Home/Kitchen/Office, Green",Silonn,Ice Makers,219.99,https://m.media-amazon.com/images/I/71C3rJJgkiL._SL1500_.jpg,4.9,17087,0.3405,0.4848,0.0039
B004QF320K,Emerson PAD-A04-1725-052 Replacement Humidifier Pad,Emerson Thermostats,Humidifier Parts & Accessories,,https://m.media-amazon.com/images/I/91WJsKPyBZL._AC_SL1500_.jpg,3.9,16786,0.3109,0.4441,0.0
B078JC11JB,33/400 Polypropylene White Caps with Heat Induction Liner - 100 Caps,Healingtime,Parts & Accessories,24.99,https://m.media-amazon.com/images/I/51GuYQ8z0fL._AC_SL1490_.jpg,4.7,15957,0.3084,0.4406,0.0
B00EMPV2LA,TRUE 801811 HEATER Element 650W 115V 115-1/2,True,Cooktop Parts & Accessories,253.98,https://m.media-amazon.com/images/I/51Dncr8Q9LL._AC_SL1000_.jpg,5.0,15299,0.3253,0.4647,0.0
B0B5GTCNQS,"W10515058 W10515057 Refrigerator LED Light Board Fit for Whirlpool Kenmore Maytag Fridge Replace W10465957 W10522611 WPW10515058VP, 3 Pack in One",Guziko,Replacement Parts,40.99,https://m.media-amazon.com/images/I/71yfRYWzatL._AC_SL1500_.jpg,4.8,15133,0.3284,0.4691,2.0E-4
B08VW1DRYY,12001656 for Range Oven Sensor Temperature Sensor AP4009456 New (1),T&m Traders Llc,Replacement Parts,8.44,https://m.media-amazon.com/images/I/6127SEOtM8L._AC_SL1500_.jpg,3.7,14957,0.315,0.4498,6.0E-4
B00HWS6BJC,Mechanical Seal,Hoshizaki,Cooktop Parts & Accessories,41.57,https://m.media-amazon.com/images/I/61TVzNE-ylL._AC_SL1495_.jpg,4.2,14941,0.3369,0.4813,0.0
B00AYBLK2W,LG Electronics 4970ED4004A Dishwasher Hinge Spring,Lg,Dishwasher Parts & Accessories,19.95,https://m.media-amazon.com/images/I/71dXro6R8lL._AC_SL1500_.jpg,4.7,14713,0.3272,0.4674,0.0
B01K7YKQE8,Big Horn 11721PK 2 Inch Key Hose Clamps (Pack 5),Big Horn,Dryer Parts & Accessories,12.5,https://m.media-amazon.com/images/I/61Al49O2ZbL._AC_SL1000_.jpg,3.8,14561,0.3406,0.4864,2.0E-4
B09V4W4H1D,"Disposable Coffee Paper Filters For K-Duo Brewer K/Duo Plus Carafe Coffee Makers, Basket Coffee Filters For K-Duo Essentials, Fits BENFUCHEN Mr.Coffee Reusable 8-12 Cup Basket Filter, 100 Pack",Benfuchen,Reusable Filters,13.99,https://m.media-amazon.com/images/I/51Mu409tFWL._AC_SL1000_.jpg,4.1,14507,0.3386,0.4837,0.0
B07XQH5XB2,Refrigerator Freezer Compressor PTC Start Relay Replacement For 2262185 IC-4 Fit for Frigidaire Gibson GE Whirlpool Ropper Kenmore 10097202 WR7X194 5303007173 IC102 66858-1,Spartshome,Parts & Accessories,7.98,https://m.media-amazon.com/images/I/61wUuiQoLPL._AC_SL1500_.jpg,4.3,14425,0.3368,0.4809,6.0E-4
B004XLDKB8,Whirlpool 307249 Multi Temperature Thermostat for Dryer,Whirlpool,Replacement Parts,,https://m.media-amazon.com/images/I/91HtsdPuMSL._AC_SL1500_.jpg,5.0,14349,0.305,0.4358,0.0
B0053Y2ZLK,Whirlpool 67003226 Freezer Motor Auger for Refrigerator,Whirlpool,Freezer Parts & Accessories,156.65,https://m.media-amazon.com/images/I/81kF3nBq9QL._AC_SL1500_.jpg,3.8,14340,0.3168,0.4525,0.0
B00M7DYE1Y,Anvil America XFTA0008 240-volt Element,Anvil America,Cooktop Parts & Accessories,129.5,https://m.media-amazon.com/images/I/61CzO4J-xhL._AC_SL1500_.jpg,5.0,14210,0.299,0.4271,0.0
B07DD4538Q,Supplying Demand WR51X10053 WR51X10101 Refrigerator Defrost Heater Assembly Replacement Kit,Supplying Demand,Parts & Accessories,,https://m.media-amazon.com/images/I/61dPfi83q4L._AC_SL1500_.jpg,4.5,13957,0.3383,0.4831,4.0E-4
B01BRHPM3E,Samsung DA34-00041A Refrigerator Light Switch Genuine Original Equipment Manufacturer (OEM) Part,B01brhpm3e,Parts & Accessories,35.75,https://m.media-amazon.com/images/I/41mT0V5yIvL._AC_SL1000_.jpg,4.8,13835,0.314,0.4484,3.0E-4
B00ECV2E1Q,General Electric WB13K10003 Electrode,Ge,Range Parts & Accessories,,https://m.media-amazon.com/images/I/51c0-J5TVrL._AC_SL1050_.jpg,4.6,13713,0.3193,0.4561,1.0E-4
B00GE9YGA6,"Eastman Dishwasher Installation Kit, 3/8 Inch x 3/8 Inch Compression, 6 Foot Braided Stainless Steel Dishwasher Connectors, 48336",Eastman,Hoses,,https://m.media-amazon.com/images/I/61nJhQXomjL._AC_SL1000_.jpg,4.6,13528,0.3417,0.488,0.0
B07RJWDTJ3,AMI PARTS DC62-00142G Washer Water Inlet Valve -3 Solenoids for Sam-sung Washer-Replaces PS4208672 AP4211934 2070188 EAP4208672,Ami Parts,Replacement Parts,15.77,https://m.media-amazon.com/images/I/61VzSkaj+vL._AC_SL1500_.jpg,4.7,13178,0.3296,0.4705,6.0E-4
B075ZXD5HL,"Seneca River Trading Washing Machine Injector Sleeve & Nozzle Replaces Maytag, 213015 & 216201",Seneca River Trading,Parts & Accessories,,https://m.media-amazon.com/images/I/618v+bbReYL._AC_SL1103_.jpg,2.8,12910,0.3337,0.4767,0.0
B00MNMUD78,General Electric WB62K10001 Range/Stove/Oven Metal Cooktop,Ge,Parts & Accessories,287.03,https://m.media-amazon.com/images/I/61QkC-hp4SL._AC_SL1500_.jpg,5.0,12770,0.3039,0.4341,0.0
B0081EAK3O,AE-SELECT Appliance Part: 8273106 Range Burner Knob for WHIRLPOOL,Whirlpool,Knobs,,https://m.media-amazon.com/images/I/81b5-QA892L._AC_SL1500_.jpg,4.7,12685,0.3556,0.508,0.0
B00IWUU08C,"Supco ADC5988 Refrigerator Defrost Control Board Replaces 61005988, 67003349, 61003990, 61002983, 12002104",Supco,Parts & Accessories,31.13,https://m.media-amazon.com/images/I/71H-vVfzRoL._AC_SL1500_.jpg,4.7,12603,0.3336,0.4764,3.0E-4
B00HNQAERI,Hoshizaki 3U0111-04 Water Valve,Hoshizaki,Cooktop Parts & Accessories,32.9,https://m.media-amazon.com/images/I/41KLTFCbaHL._AC_SL1000_.jpg,4.6,12589,0.3283,0.4686,0.001
B078RD31KL,"EAGLEGGO Compatible Dryer Heating Element for Samsung DV328AEW/XAA-0000, Samsung DV456EWHDSU/AA-0000, Samsung DV45H7200EW/A2-0000, Samsung DV330AEB/XAA-0002 Dryers",Eagleggo,Replacement Parts,39.99,https://m.media-amazon.com/images/I/71RAjf+LKEL._AC_SL1500_.jpg,4.4,12325,0.3345,0.4779,0.0
B07YVNFL5X,"Awoco 30” Wall Mount 48-1/2\"H Stainless Steel Range Hood 4 Speeds, 6” Round Top Vent 900CFM 2 LED Lights & Remote Control (RH-WT-30)",Awoco,Range Hoods,375.0,https://m.media-amazon.com/images/I/71qeaYZZsUL._AC_SL1500_.jpg,3.9,12203,0.34,0.4857,0.0
B00IIHEO90,Samsung DC97-15974E Washer Drain Pump without Drain Cap,Samsung,Washer Parts & Accessories,,https://m.media-amazon.com/images/I/81RpJIHHlEL._AC_SL1500_.jpg,5.0,12177,0.3273,0.4672,7.0E-4
B094WBLCTT,Compatible Oven Bake Igniter for Samsung Range Model NX58M6630SS/AA,Generic Aftermarket,Parts & Accessories,27.9,https://m.media-amazon.com/images/I/512QNEcEXLS._AC_SL1500_.jpg,4.6,12145,0.2982,0.426,0.0
B00MOCMUQO,General Electric WB23K10004 Surface Element Switch,Ge,Parts & Accessories,,https://m.media-amazon.com/images/I/71irBlplVgL._AC_SL1363_.jpg,4.2,12021,0.308,0.44,0.0
B083KNBXV7,"Amazon Basics Replacement Samsung DA97-17376B, HAF-QIN/EXP Refrigerator Water Filter, 3-Pack, Premium Filtration",Amazon Basics,Water Filters,,https://m.media-amazon.com/images/I/71u009r6uQL._AC_SL1500_.jpg,4.7,11861,0.3407,0.4866,0.0
B01CCFN3IG,3-Pack Replacement for LG LFX31935ST Refrigerator Air Filter - Compatible with LG LT120F ADQ73214404 Fridge Air Filter,Denali Pure,Parts & Accessories,,https://m.media-amazon.com/images/I/71cazdoyR3L._AC_SL1500_.jpg,5.0,11845,0.3049,0.4355,0.0
B0B1J7XHR6,12-Pack BWF100 Filters For Breville Espresso Cappuccino Coffee Machine BWF100 BES870 BES810 BES990 BES980 BES920 BES900XL BES870XL BES860XL BES840XL BKC600XL Ion Exchange Resin Water Filter Cartridge,Bewafia,Disposable Filters,13.65,https://m.media-amazon.com/images/I/71tUNqH3DuL._AC_SL1500_.jpg,4.6,11830,0.3177,0.4538,3.0E-4
B0093QDE46,GE Appliances WR32X10565 Cover Asm Top Pan,Ge,Parts & Accessories,,https://m.media-amazon.com/images/I/71kucm1q89L._AC_SL1500_.jpg,4.9,11474,0.3365,0.4807,0.0
B07F2QB91F,"Supplying Demand 4681JB1027C Refrigerator DC Evaporator Fan Motor Replaces EAU60694512, 4681JK1004E",Supplying Demand,Parts & Accessories,,https://m.media-amazon.com/images/I/71TIr3iUcZL._SL1500_.jpg,3.8,11432,0.3213,0.459,0.0
B08D2Z1TR4,"285809 Washer Short Cam Agitator Repair Kit by Seentech Easy to Install - Compatible with Whirlpool Washers - Replaces AP3094543, 285809VP, 3951650, 3951682, 470910, AH334648, EA334648, PS334648",Seentech,Replacement Parts,10.98,https://m.media-amazon.com/images/I/51G4S5R3jGL._AC_SL1500_.jpg,4.7,11356,0.3338,0.4762,0.0016
B003WBOQB8,Whirlpool Part Number W10326989: CNTRL-ELEC,Whirlpool,Parts & Accessories,,https://m.media-amazon.com/images/I/71tlrbSHRML._AC_SL1500_.jpg,5.0,11340,0.3305,0.4721,1.0E-4
